Supplier;Code;Description;Quantity;Value;
B172;A1424.1N;B172 BOWL 20x10x4;1;15;
B172;A1424.2N;B172 BOWL 25x12x4.5;1;20;
B172;A1534W;B172 LADDER 44x180;2;39;
I99;A2708;I99 MUG 7.2x6.5x8.2;5;16;
xx;A4194;PINAKAS KASPO D10;1;3;
B22;A4377;B22 PAINTING 80x100;1;40;
P14;A4962PI;P14 CANDLE HOLDER SMALL HYERES L/PINK;2;20;
P14;A4982.3G;P14 VASE TERMIT GREY 10.5x38;1;11;
I7;A6071;I7 BUNDLE SPIKES NATURAL;1;2;
D9;A6170;D9 FRUIT BOWL METAL BLACK F26;1;8;
D9;A6179;D9 STAND BAMBOO FOR KITCHEN TOWEL;1;8;
P6;A6293;P6 PLAID 152x127;1;12;
I62;A6343.1B;I62 VASE CERAMIC ROUND BLACK H15;1;4;
I62;A6343.1W;I62 VASE CERAMIC ROUND WHITE H15;1;6;
I62;A6343.2W;I62 VASE CERAMIC ROUND WHITEH21;1;10;
I51;A6361.4;I51 BAMBOO TRAY RECT 25x36;1;6;
I31;A6412;I31 LEVANDER H28;8;13;
I12;A6416;I12 BANANA LEAVES H108;1;33;
I65;A6593;I65 ASHTRAY OCTAGON F13x4;1;10;
P38;A6635;P38 WALL SHELF SHIMA METAL F50x10;2;51;
B169;A6969.1;B169 TEAK MIRROR REC.TEAK;1;113;
B169;A7225;B169 DECO HORN TEAK 50x5x40;1;36;
I17;A7387.1;I17 POT IRON 20x12x28;1;30;
B172;A7434;B172 LANTERN RATTAN 46x46x51;1;76;
B172;A7434.1;B172 LANTERN RATTAN 35x35x34;1;46;
B172;A7434.2;B172 LANTERN RATTAN 40x40x46;1;62;
B169;A7466;B169 BOWL 65X17X7;1;40;
B169;A7497;B169 STAND 30x10x40;1;42;
B176;A7510.2;B176 BASKET RATTAN & BLACK 35x35x45;1;23;
B176;A7514.1;B176 BASKET RATTAN & WHITE 33x33x40;1;19;
B176;A7514.2;B176 BASKET RATTAN & WHITE 35x35x45;1;23;
B176;A7514.3;B176 BASKET RATTAN & WHITE 40x40x50;1;27;
B176;A7518.1BW;B176 BASKET black & white 33x33x40;1;24;
B176;A7518.2BW;B176 BASKET black & white 35x35x45;1;23;
B176;A7519.3BL;B176 BASKET blue 40x40x50;1;27;
B176;A7521.1;B176 BASKET FLAT ROUND 16x16x10;1;9;
B176;A7521.2;B176 BASKET FLAT ROUND 22x22x11;1;11;
B176;A7521.3;B176 BASKET FLAT ROUND 28x28x12;1;13;
B172;A7592;B172 TRAY & FOOD COVER  45x30x6.5/19;2;90;
B172;A7593;B172 WOODEN STAND DECORATION 40x11x55;1;56;
B172;A7594;B172  WOODEN STAND LEAVES 33x10x81;1;62;
P38;A7740;P38 CUSHION COVER AMERIDA BLACK 50X30 COTTON;2;32;
P14;A7790;P14 Vase Ø23x41 cm PERLY glass olive green;1;81;
P14;A7812;P14 Vase deco Ø11,5x17 cm GIVRON matt black;2;53;
B169;A7845;B169 BOWL THICK PRAU LANCIP S  50x8x14;1;22;
B169;A7853;B169 MIRROR DRIFT SQUARE BAROQ  60x4x60;1;89;
B207;A7866;B207 POT BUNGA xx;1;28;
B208;A7871;B208 10 MODELS ITEMS  20x20x9;7;45;
B208;A7872;B208 6 MODEL ITEM ;4;20;
B208;A7876;B208 BOWL SET 2 21x21x5;1;10;
P38;A7924.1;P38 ROUND TRAY X2 EDNNA BROWN  D30X4.;1;43;
B169;A7941;B169 MIRROR STANDING FLOOR 50x4x170;2;398;
B169;A7942;B169 MIRROR WALL BOHO 57x5x170;3;586;
Β31;A7961.1;Β31 POTTERY  TERRACOTA;1;25;
Β31;A7961.3;Β31 POTTERY  TERRACOTA;1;32;
P14;A8136;P14 Mirror 40x1,5x100 cm LIBRA smoked glass+matt black;1;250;
D195;AT1001;D195 Πολυπαιχνίδι 4σε1 Σκάκι-Τάβλι-Γκρινιάρης-Φιδάκι (Ελιά) 34x34cm;1;62;
D195;AT1006;D195 Handmade Travel Size Leather Backgammon Raf Blue with Beige & Cream points 30cmX46cm;1;128;
B4;B1025C;B4 SOAP DISH MARBLE SQUARE CREAM;1;6;
P42;B4032.2;P42 BATHROBE WAFFLE L size;1;16;
xx;C1000;CURTAIN;10;1007;
P11;C1150;P11 STOOL TEMTABOU PINE GREY 37x37x45;2;88;
B169;C1511;B169 LOUNGE CHAIR VILIA 75x83x73;2;564;
B177;C1600N;B177 CHAIR TEAK DIMI 57x50x76;1;117;
B169;C1628;B169 STOOL STONE ROUND NESIMA 30x30x45;2;150;
B169;C1629;B169 STOOL TEAK NATURAL PAOLI F35 H45;2;190;
B169;C1631;B169 STOOL TEAK 45x25x40;1;111;
B169;C1642;B169 STOOL 40X40X40;1;56;
B169;C1650;B169 STOOL TEAK ROOT 30X30X40;2;276;
P14;C1684;P14 Cushion 45x45 cm PRITO brown;2;140;
B202;C1703;B202 BENCH 120x40x45;1;234;
B206;C1713;B206 CHAIR 68x62x74;2;395;
B206;C1727;B206 CHAIR 50x52x80;8;958;
B169;C1735;B169 CHAIR LOUNGE TEAK 90x72x72;2;366;
B169;C1735CC;B169 CUSHION FOR C1735 - CHAIR LOUNGE TEAK 90x72x72;2;120;
I93;F4441;I93 JUTE RUG 160x240;4;388;
I93;F4443;I93 JUTE RUG 120x195;2;109;
I93;F4446;I93 JUTE RUG 40x40;6;23;
D148;F4897.1;D148 SPRING BLANKET 170Χ240;2;54;
B33;F5356;B33 TOWEL PAREO INKAS CIRCLES;1;18;
B33;F5370;B33 TOWEL PAREO LEAVES;1;32;
I80;F7884PI;I80 SCARF 30%LINEN+70%VISCOSE;1;12;
D148;F7963.1;D148 SHEET ORFEAS 160X270;4;54;
D148;F7964;D148 PILLOW CASE ORFEAS 50X70+18;4;23;
D148;F7972.2;D148 DUVET COVER ORFEAS 220X240;2;58;
I84;F7991;I84 THROW ( W/W ) 127x177,8;1;22;
I84;F7992;I84 THROW ACRYLIC WOOL 127x167,64;1;40;
I84;F8000;I84 THROW COTTON DOUBLE GAUZ STRIPE 127x177,8;1;44;
I84;F8004;I84 RUG COTTON BLOCK PRINT ( B/W ) 91,44x152,4;1;48;
Β220;F8046;Β220 CUSHION COVER COTTON 50X50CM;2;53;
B169;G1241;B169 SUNBED TEAK PARGA 200x60;12;2916;
B169;G1241CC;B169 CUSHION FOR SUNBED TEAK PARGA 200x60x38;8;676;
I48;G1276L802-8;I48 POUF 323 80x70x90;5;572;
D222;G1337;D222 UMBRELLA KALAMI F250;2;458;
B176;J8038.3;B176 BAG 40x20x28;1;52;
B169;K1042.3;B169 HEADBOARD B RATTAN 260x110;1;335;
B169;K1043.2;B169 HEADBOARD C GROOVES 260x110;2;937;
D32;K1054.4;D32 MATRESS IASON 180x200x20;1;759;
B169;K1066.1;B169 BED BASE TEAK MINIMAL 184x204x35 for mattress 180x200;1;1064;
D75;K1070.1;D75 BED MATISSE 160X200;2;1106;
D75;KW0000.1;D75 BED BASE BOX 150-180X200X30;2;881;
D75;KW0002;D75 HEADBOARD 160-180X110;1;512;
P5;L2888;P5 CANDLE HOLDER BOBBIN WOOD&GLASS F10x22;1;12;
I130;L3088.2B;I130 LIGHT PENDANT MESH SHADE BLACK F30 H27.5;2;116;
B172;L3122;B172 LAMP HANGING BAMBOO F36 H24;2;76;
Β31;L3233;Β31 LAMP WALL  TERRACOTA;1;68;
B169;S1116.1B;B169 SOFA TEAK 1 SEATER CASARANO 102x98x86;1;227;
B169;S1116.2B;B169 SOFA TEAK 2 SEATER CASARANO 195x98x86;1;474;
D75;SW0002;D75 SOFA;1;1057;
B169;T1379.1N;B169 BEDSIDE RECT TEAK 30x35x45;4;519;
B169;T1382.2;B169 COFFEE TABLE 120x70x40;1;134;
B169;T1388.2;B169 COFFEE TABLE TEAK 130x70X35;1;599;
B177;T2022.1N;B177 COFFEE TABLE ERODIO 55x55x55;1;98;
B180;T2024.9B;B180 DINING TABLE KYANI TEAK 200x100x75;1;790;
B169;T2029N;B169 COFFEE TABLE  PENTATI 140x70x35;1;402;
B169;T2051N;B169 SIDE TABLE DRIMONAS 30x30x40;2;194;
B169;T2123B;B169 BEDSIDE TABLE TEAK FALCONE F35 H45;2;237;
B169;T2426.3;B169 DINING TABLE SUAR TONIA 90x90x75;1;524;
B169;T2435.1B;B169 COFFE TABLE CASARANO 92x92x35;1;331;
B169;T2463.3BE;B169 DINING TABLE TEAK WITH MARBLE TOP 220x90x75;1;1057;
;;;;;
;;;;;