Supplier;Code;Description;Quantity;Value
I89;A2673.1;I89 LANTERN IRON F9.5 H11;1;10
I89;A2673.2;I89 LANTERN IRON F11 H14;1;14
I99;A2708;I99 MUG 7.2x6.5x8.2;2;5
I99;A2712;I99 BOWL 15.5x12x8;1;4
B29;A5425W;B29 AROMA BURNER PLAIN 3 HOLES;1;6
P17;A6072;P17 PARFUM MAUBOUSSIN 100ml;1;40
I12;A6414;I12 FLOWER PURPLE H105;3;37
I12;A6430;I12 FLOWER RED H107;2;6
I12;A6431;I12 FLOWER ORCHID PURPLE H107;2;5
B164;A6568.1;B164 SEA HORSE WOODEN H50;1;16
P38;A6618;P38 PLATE GLASS SAPIN F31;1;28
B176;A7516.1;B176 BASKET BLACK & WHITE 33x28x24;1;24
B176;A7520.2;B176 BASKET with stripes 36x36x29;1;17
P14;A7524;P14 DECO WITH HANDLE PHARIS F12.5X16;1;8
P38;A7705;P38 CEILING LAMP ELUMINEA BLACK 20X20XH53 GLASS+BRASS;1;161
I33;A7826;I33 TURQUISE ESCAPE 100ML REED DIFFUSER WITH 8 REEDS IN PAPER BOX;1;12
B169;A7933;B169 SOAP HOLDER BLACK STONE 15x10x2;1;10
B221;A8029;B221 CANDLE NATURAL PALM WOOD 0;1;36
B221;A8036;B221 CANDLE NATURAL PALM WOOD 0;1;45
B4;B1022C;B4 SOAP DISH MARBLE ROUND CREAM;1;5
I63;B1388;I63 BATH MAT 47x75;3;24
B169;B1411.5;B169 RIVER STONE SINK 40X38X15;1;56
I86;B1486;I86 WALL HOOK BRASS 3x3x3;6;48
B169;C1509B;B169 SIDE TABLE F45 H50;1;202
D193;FW0016;D193 CUSHIONS FOR CHAIR-BENCH;4;323
I48;G1276L802-8;I48 POUF 323 80x70x90;2;315
D4;L1072.2;D4 T-LIGHT BLUE MOSAIC MEDIUM;1;4
T32;L2508;T32 TABLE LAMP BUTTERFLY SILVER 15x15x41;2;56
B171;T1348;B171 TABLE FOLDABLE SMALL KARO;1;161
B202;T2445;B202 COFFEE TABLE 56x56x56;1;109
I28;V1031.1;I28 NOTEBOOK DOTS CHA-B 9x14;1;0